"","Year","Country Name","Indicator Name","Value","Month","Palestinians Killed","Israelis Killed","Poverty_Level","Total_Killed"
"43","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"OCTOBER",145,3,"high_poverty",148
"44","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"SEPTEMBER",112,11,"high_poverty",123
"45","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"JANUARY",27,15,"high_poverty",42
"46","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"FEBRUARY",54,11,"high_poverty",65
"47","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"NOVEMBER",42,3,"high_poverty",45
"48","2004","West Bank and Gaza","Poverty gap at $6.85 a day (2017 PPP) (%)",6,"MARCH",79,11,"high_poverty",90
"49","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"JUNE",59,3,"high_poverty",62
"50","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"DECEMBER",61,8,"high_poverty",69
"51","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"AUGUST",39,17,"high_poverty",56
"52","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"JULY",0,0,"high_poverty",0
"53","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"APRIL",55,3,"high_poverty",58
"54","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"MAY",113,19,"high_poverty",132
"55","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"OCTOBER",145,3,"high_poverty",148
"56","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"SEPTEMBER",112,11,"high_poverty",123
"57","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"JANUARY",27,15,"high_poverty",42
"58","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"FEBRUARY",54,11,"high_poverty",65
"59","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"NOVEMBER",42,3,"high_poverty",45
"60","2004","West Bank and Gaza","Income share held by lowest 20%",7.5,"MARCH",79,11,"high_poverty",90
"61","2004","West Bank and Gaza","Income share held by second 20%",12,"JUNE",59,3,"medium_poverty",62
"62","2004","West Bank and Gaza","Income share held by second 20%",12,"DECEMBER",61,8,"medium_poverty",69
"63","2004","West Bank and Gaza","Income share held by second 20%",12,"AUGUST",39,17,"medium_poverty",56
"64","2004","West Bank and Gaza","Income share held by second 20%",12,"JULY",0,0,"medium_poverty",0
"65","2004","West Bank and Gaza","Income share held by second 20%",12,"APRIL",55,3,"medium_poverty",58
"66","2004","West Bank and Gaza","Income share held by second 20%",12,"MAY",113,19,"medium_poverty",132
"67","2004","West Bank and Gaza","Income share held by second 20%",12,"OCTOBER",145,3,"medium_poverty",148
"68","2004","West Bank and Gaza","Income share held by second 20%",12,"SEPTEMBER",112,11,"medium_poverty",123
"69","2004","West Bank and Gaza","Income share held by second 20%",12,"JANUARY",27,15,"medium_poverty",42
"70","2004","West Bank and Gaza","Income share held by second 20%",12,"FEBRUARY",54,11,"medium_poverty",65
"71","2004","West Bank and Gaza","Income share held by second 20%",12,"NOVEMBER",42,3,"medium_poverty",45
"72","2004","West Bank and Gaza","Income share held by second 20%",12,"MARCH",79,11,"medium_poverty",90
"73","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"JUNE",59,3,"medium_poverty",62
"74","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"DECEMBER",61,8,"medium_poverty",69
"75","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"AUGUST",39,17,"medium_poverty",56
"76","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"JULY",0,0,"medium_poverty",0
"77","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"APRIL",55,3,"medium_poverty",58
"78","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"MAY",113,19,"medium_poverty",132
"79","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"OCTOBER",145,3,"medium_poverty",148
"80","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"SEPTEMBER",112,11,"medium_poverty",123
"81","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"JANUARY",27,15,"medium_poverty",42
"82","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"FEBRUARY",54,11,"medium_poverty",65
"83","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"NOVEMBER",42,3,"medium_poverty",45
"84","2004","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",10.4,"MARCH",79,11,"medium_poverty",90
"85","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"JUNE",59,3,"medium_poverty",62
"86","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"DECEMBER",61,8,"medium_poverty",69
"87","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"AUGUST",39,17,"medium_poverty",56
"88","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"JULY",0,0,"medium_poverty",0
"89","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"APRIL",55,3,"medium_poverty",58
"90","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"MAY",113,19,"medium_poverty",132
"91","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"OCTOBER",145,3,"medium_poverty",148
"92","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"SEPTEMBER",112,11,"medium_poverty",123
"93","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"JANUARY",27,15,"medium_poverty",42
"94","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"FEBRUARY",54,11,"medium_poverty",65
"95","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"NOVEMBER",42,3,"medium_poverty",45
"96","2004","West Bank and Gaza","Income share held by highest 20%",41.8,"MARCH",79,11,"medium_poverty",90
"97","2004","West Bank and Gaza","Income share held by third 20%",16.3,"JUNE",59,3,"medium_poverty",62
"98","2004","West Bank and Gaza","Income share held by third 20%",16.3,"DECEMBER",61,8,"medium_poverty",69
"99","2004","West Bank and Gaza","Income share held by third 20%",16.3,"AUGUST",39,17,"medium_poverty",56
"100","2004","West Bank and Gaza","Income share held by third 20%",16.3,"JULY",0,0,"medium_poverty",0
"101","2004","West Bank and Gaza","Income share held by third 20%",16.3,"APRIL",55,3,"medium_poverty",58
"102","2004","West Bank and Gaza","Income share held by third 20%",16.3,"MAY",113,19,"medium_poverty",132
"103","2004","West Bank and Gaza","Income share held by third 20%",16.3,"OCTOBER",145,3,"medium_poverty",148
"104","2004","West Bank and Gaza","Income share held by third 20%",16.3,"SEPTEMBER",112,11,"medium_poverty",123
"105","2004","West Bank and Gaza","Income share held by third 20%",16.3,"JANUARY",27,15,"medium_poverty",42
"106","2004","West Bank and Gaza","Income share held by third 20%",16.3,"FEBRUARY",54,11,"medium_poverty",65
"107","2004","West Bank and Gaza","Income share held by third 20%",16.3,"NOVEMBER",42,3,"medium_poverty",45
"108","2004","West Bank and Gaza","Income share held by third 20%",16.3,"MARCH",79,11,"medium_poverty",90
"109","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"JUNE",59,3,"medium_poverty",62
"110","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"DECEMBER",61,8,"medium_poverty",69
"111","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"AUGUST",39,17,"medium_poverty",56
"112","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"JULY",0,0,"medium_poverty",0
"113","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"APRIL",55,3,"medium_poverty",58
"114","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"MAY",113,19,"medium_poverty",132
"115","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"OCTOBER",145,3,"medium_poverty",148
"116","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"SEPTEMBER",112,11,"medium_poverty",123
"117","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"JANUARY",27,15,"medium_poverty",42
"118","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"FEBRUARY",54,11,"medium_poverty",65
"119","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"NOVEMBER",42,3,"medium_poverty",45
"120","2004","West Bank and Gaza","Income share held by highest 10%",26.5,"MARCH",79,11,"medium_poverty",90
"121","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"JUNE",59,3,"medium_poverty",62
"122","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"DECEMBER",61,8,"medium_poverty",69
"123","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"AUGUST",39,17,"medium_poverty",56
"124","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"JULY",0,0,"medium_poverty",0
"125","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"APRIL",55,3,"medium_poverty",58
"126","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"MAY",113,19,"medium_poverty",132
"127","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"OCTOBER",145,3,"medium_poverty",148
"128","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"SEPTEMBER",112,11,"medium_poverty",123
"129","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"JANUARY",27,15,"medium_poverty",42
"130","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"FEBRUARY",54,11,"medium_poverty",65
"131","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"NOVEMBER",42,3,"medium_poverty",45
"132","2004","West Bank and Gaza","Income share held by fourth 20%",22.4,"MARCH",79,11,"medium_poverty",90
"133","2004","West Bank and Gaza","Gini index",34,"JUNE",59,3,"medium_poverty",62
"134","2004","West Bank and Gaza","Gini index",34,"DECEMBER",61,8,"medium_poverty",69
"135","2004","West Bank and Gaza","Gini index",34,"AUGUST",39,17,"medium_poverty",56
"136","2004","West Bank and Gaza","Gini index",34,"JULY",0,0,"medium_poverty",0
"137","2004","West Bank and Gaza","Gini index",34,"APRIL",55,3,"medium_poverty",58
"138","2004","West Bank and Gaza","Gini index",34,"MAY",113,19,"medium_poverty",132
"139","2004","West Bank and Gaza","Gini index",34,"OCTOBER",145,3,"medium_poverty",148
"140","2004","West Bank and Gaza","Gini index",34,"SEPTEMBER",112,11,"medium_poverty",123
"141","2004","West Bank and Gaza","Gini index",34,"JANUARY",27,15,"medium_poverty",42
"142","2004","West Bank and Gaza","Gini index",34,"FEBRUARY",54,11,"medium_poverty",65
"143","2004","West Bank and Gaza","Gini index",34,"NOVEMBER",42,3,"medium_poverty",45
"144","2004","West Bank and Gaza","Gini index",34,"MARCH",79,11,"medium_poverty",90
"145","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"JUNE",59,3,"high_poverty",62
"146","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"DECEMBER",61,8,"high_poverty",69
"147","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"AUGUST",39,17,"high_poverty",56
"148","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"JULY",0,0,"high_poverty",0
"149","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"APRIL",55,3,"high_poverty",58
"150","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"MAY",113,19,"high_poverty",132
"151","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"OCTOBER",145,3,"high_poverty",148
"152","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"SEPTEMBER",112,11,"high_poverty",123
"153","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"JANUARY",27,15,"high_poverty",42
"154","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"FEBRUARY",54,11,"high_poverty",65
"155","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"NOVEMBER",42,3,"high_poverty",45
"156","2004","West Bank and Gaza","Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population)",0.6,"MARCH",79,11,"high_poverty",90
"157","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"JUNE",59,3,"high_poverty",62
"158","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"DECEMBER",61,8,"high_poverty",69
"159","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"AUGUST",39,17,"high_poverty",56
"160","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"JULY",0,0,"high_poverty",0
"161","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"APRIL",55,3,"high_poverty",58
"162","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"MAY",113,19,"high_poverty",132
"163","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"OCTOBER",145,3,"high_poverty",148
"164","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"SEPTEMBER",112,11,"high_poverty",123
"165","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"JANUARY",27,15,"high_poverty",42
"166","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"FEBRUARY",54,11,"high_poverty",65
"167","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"NOVEMBER",42,3,"high_poverty",45
"168","2004","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.6,"MARCH",79,11,"high_poverty",90
"169","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"JUNE",59,3,"high_poverty",62
"170","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"DECEMBER",61,8,"high_poverty",69
"171","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"AUGUST",39,17,"high_poverty",56
"172","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"JULY",0,0,"high_poverty",0
"173","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"APRIL",55,3,"high_poverty",58
"174","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"MAY",113,19,"high_poverty",132
"175","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"OCTOBER",145,3,"high_poverty",148
"176","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"SEPTEMBER",112,11,"high_poverty",123
"177","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"JANUARY",27,15,"high_poverty",42
"178","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"FEBRUARY",54,11,"high_poverty",65
"179","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"NOVEMBER",42,3,"high_poverty",45
"180","2004","West Bank and Gaza","Poverty gap at $2.15 a day (2017 PPP) (%)",0.1,"MARCH",79,11,"high_poverty",90
"181","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"JUNE",59,3,"high_poverty",62
"182","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"DECEMBER",61,8,"high_poverty",69
"183","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"AUGUST",39,17,"high_poverty",56
"184","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"JULY",0,0,"high_poverty",0
"185","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"APRIL",55,3,"high_poverty",58
"186","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"MAY",113,19,"high_poverty",132
"187","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"OCTOBER",145,3,"high_poverty",148
"188","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"SEPTEMBER",112,11,"high_poverty",123
"189","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"JANUARY",27,15,"high_poverty",42
"190","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"FEBRUARY",54,11,"high_poverty",65
"191","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"NOVEMBER",42,3,"high_poverty",45
"192","2004","West Bank and Gaza","Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population)",23.6,"MARCH",79,11,"high_poverty",90
"193","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"JUNE",59,3,"high_poverty",62
"194","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"DECEMBER",61,8,"high_poverty",69
"195","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"AUGUST",39,17,"high_poverty",56
"196","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"JULY",0,0,"high_poverty",0
"197","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"APRIL",55,3,"high_poverty",58
"198","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"MAY",113,19,"high_poverty",132
"199","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"OCTOBER",145,3,"high_poverty",148
"200","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"SEPTEMBER",112,11,"high_poverty",123
"201","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"JANUARY",27,15,"high_poverty",42
"202","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"FEBRUARY",54,11,"high_poverty",65
"203","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"NOVEMBER",42,3,"high_poverty",45
"204","2004","West Bank and Gaza","Poverty gap at $3.65 a day (2017 PPP) (%)",0.9,"MARCH",79,11,"high_poverty",90
"205","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"NOVEMBER",15,1,"medium_poverty",16
"206","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"OCTOBER",22,10,"medium_poverty",32
"207","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"SEPTEMBER",17,1,"medium_poverty",18
"208","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"DECEMBER",20,8,"medium_poverty",28
"209","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"JULY",25,8,"medium_poverty",33
"210","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"JUNE",5,4,"medium_poverty",9
"211","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"MAY",10,1,"medium_poverty",11
"212","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"AUGUST",11,0,"medium_poverty",11
"213","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"MARCH",1,0,"medium_poverty",1
"214","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"FEBRUARY",9,5,"medium_poverty",14
"215","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"JANUARY",50,13,"medium_poverty",63
"216","2005","West Bank and Gaza","Proportion of people living below 50 percent of median income (%)",11.8,"APRIL",5,0,"medium_poverty",5
"217","2005","West Bank and Gaza","Income share held by third 20%",16.1,"NOVEMBER",15,1,"medium_poverty",16
"218","2005","West Bank and Gaza","Income share held by third 20%",16.1,"OCTOBER",22,10,"medium_poverty",32
"219","2005","West Bank and Gaza","Income share held by third 20%",16.1,"SEPTEMBER",17,1,"medium_poverty",18
"220","2005","West Bank and Gaza","Income share held by third 20%",16.1,"DECEMBER",20,8,"medium_poverty",28
"221","2005","West Bank and Gaza","Income share held by third 20%",16.1,"JULY",25,8,"medium_poverty",33
"222","2005","West Bank and Gaza","Income share held by third 20%",16.1,"JUNE",5,4,"medium_poverty",9
"223","2005","West Bank and Gaza","Income share held by third 20%",16.1,"MAY",10,1,"medium_poverty",11
"224","2005","West Bank and Gaza","Income share held by third 20%",16.1,"AUGUST",11,0,"medium_poverty",11
"225","2005","West Bank and Gaza","Income share held by third 20%",16.1,"MARCH",1,0,"medium_poverty",1
"226","2005","West Bank and Gaza","Income share held by third 20%",16.1,"FEBRUARY",9,5,"medium_poverty",14
"227","2005","West Bank and Gaza","Income share held by third 20%",16.1,"JANUARY",50,13,"medium_poverty",63
"228","2005","West Bank and Gaza","Income share held by third 20%",16.1,"APRIL",5,0,"medium_poverty",5
"229","2005","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.2,"NOVEMBER",15,1,"high_poverty",16
"230","2005","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.2,"OCTOBER",22,10,"high_poverty",32
"231","2005","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.2,"SEPTEMBER",17,1,"high_poverty",18
"232","2005","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.2,"DECEMBER",20,8,"high_poverty",28
"233","2005","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.2,"JULY",25,8,"high_poverty",33
"234","2005","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.2,"JUNE",5,4,"high_poverty",9
"235","2005","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.2,"MAY",10,1,"high_poverty",11
"236","2005","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.2,"AUGUST",11,0,"high_poverty",11
"237","2005","West Bank and Gaza","Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population)",3.2,"MARCH",1,0,"high_poverty",1
